,movie_id,genre_id
0,810693,16
1,810693,28
2,810693,14
3,616820,27
4,616820,53
5,414906,80
6,414906,9648
7,414906,53
8,820067,16
9,820067,35
10,820067,10749
11,928773,27
12,928773,53
13,508947,16
14,508947,10751
15,508947,35
16,508947,14
17,904039,16
18,904039,35
19,568124,16
20,568124,35
21,568124,10751
22,568124,14
23,629176,28
24,629176,18
25,629176,878
26,619730,53
27,619730,9648
28,619730,878
29,928015,27
30,928015,14
31,928015,53
32,879538,53
33,916719,53
34,916719,28
35,1024535,27
36,585511,16
37,585511,12
38,585511,35
39,585511,14
40,955644,16
41,955644,14
42,955644,12
43,1039026,35
44,1034470,35
45,1034470,10751
46,1034470,16
47,848791,80
48,848791,18
49,848791,9648
50,848791,53
51,86328,27
